Id,Prediction
1,o
2,m
3,m
4,a
5,n
6,d
7,i
8,n
9,g
10,o
11,m
12,m
13,a
14,n
15,d
16,i
17,n
18,g
37,o
38,m
39,m
40,a
41,n
42,d
43,i
44,n
45,g
46,o
47,m
48,m
49,a
50,n
51,d
52,i
53,n
54,g
55,o
56,m
57,m
58,a
59,n
60,d
61,i
62,n
63,g
64,o
65,m
66,m
67,a
68,n
69,d
70,i
71,n
72,g
73,o
74,m
75,m
76,a
77,n
78,d
79,i
80,n
81,g
100,o
101,m
102,m
103,a
104,n
105,d
106,i
107,n
108,g
109,o
110,m
111,m
112,a
113,n
114,d
115,i
116,n
117,g
118,o
119,m
120,m
121,a
122,n
123,d
124,i
125,n
126,g
136,o
137,m
138,m
139,a
140,n
141,d
142,i
143,n
144,g
145,o
146,m
147,m
148,a
149,n
150,d
151,i
152,n
153,g
154,o
155,m
156,m
157,a
158,n
159,d
160,i
161,n
162,g
163,o
164,m
165,m
166,a
167,n
168,d
169,i
170,n
171,g
172,o
173,m
174,m
175,a
176,n
177,d
178,i
179,n
180,g
190,o
191,m
192,m
193,a
194,n
195,d
196,i
197,n
198,g
199,o
200,m
201,m
202,a
203,n
204,d
205,i
206,n
207,g
208,o
209,m
210,m
211,a
212,n
213,d
214,i
215,n
216,g
217,o
218,m
219,m
220,a
221,n
222,d
223,i
224,n
225,g
226,o
227,m
228,m
229,a
230,n
231,d
232,i
233,n
234,g
235,o
236,m
237,m
238,a
239,n
240,d
241,i
242,n
243,g
244,o
245,m
246,m
247,a
248,n
249,d
250,i
251,n
252,g
253,o
254,m
255,m
256,a
257,n
258,d
259,i
260,n
261,g
262,o
263,m
264,m
265,a
266,n
267,d
268,i
269,n
270,g
271,o
272,m
273,m
274,a
275,n
276,d
277,i
278,n
279,g
289,o
290,m
291,m
292,a
293,n
294,d
295,i
296,n
297,g
298,o
299,m
300,m
301,a
302,n
303,d
304,i
305,n
306,g
307,o
308,m
309,m
310,a
311,n
312,d
313,i
314,n
315,g
316,o
317,m
318,m
319,a
320,n
321,d
322,i
323,n
324,g
334,o
335,m
336,m
337,a
338,n
339,d
340,i
341,n
342,g
343,o
344,m
345,m
346,a
347,n
348,d
349,i
350,n
351,g
352,o
353,m
354,m
355,a
356,n
357,d
358,i
359,n
360,g
370,o
371,m
372,m
373,a
374,n
375,d
376,i
377,n
378,g
379,o
380,m
381,m
382,a
383,n
384,d
385,i
386,n
387,g
388,o
389,m
390,m
391,a
392,n
393,d
394,i
395,n
396,g
397,o
398,m
399,m
400,a
401,n
402,d
403,i
404,n
405,g
424,o
425,m
426,m
427,a
428,n
429,d
430,i
431,n
432,g
433,o
434,m
435,m
436,a
437,n
438,d
439,i
440,n
441,g
451,o
452,m
453,m
454,a
455,n
456,d
457,i
458,n
459,g
460,o
461,m
462,m
463,a
464,n
465,d
466,i
467,n
468,g
469,o
470,m
471,m
472,a
473,n
474,d
475,i
476,n
477,g
478,o
479,m
480,m
481,a
482,n
483,d
484,i
485,n
486,g
487,o
488,m
489,m
490,a
491,n
492,d
493,i
494,n
495,g
496,o
497,m
498,m
499,a
500,n
501,d
502,i
503,n
504,g
523,o
524,m
525,m
526,a
527,n
528,d
529,i
530,n
531,g
532,o
533,m
534,m
535,a
536,n
537,d
538,i
539,n
540,g
550,o
551,m
552,m
553,a
554,n
555,d
556,i
557,n
558,g
559,o
560,m
561,m
562,a
563,n
564,d
565,i
566,n
567,g
568,o
569,m
570,m
571,a
572,n
573,d
574,i
575,n
576,g
577,o
578,m
579,m
580,a
581,n
582,d
583,i
584,n
585,g
595,o
596,m
597,m
598,a
599,n
600,d
601,i
602,n
603,g
604,o
605,m
606,m
607,a
608,n
609,d
610,i
611,n
612,g
613,o
614,m
615,m
616,a
617,n
618,d
619,i
620,n
621,g
622,o
623,m
624,m
625,a
626,n
627,d
628,i
629,n
630,g
631,o
632,m
633,m
634,a
635,n
636,d
637,i
638,n
639,g
649,o
650,m
651,m
652,a
653,n
654,d
655,i
656,n
657,g
658,o
659,m
660,m
661,a
662,n
663,d
664,i
665,n
666,g
667,o
668,m
669,m
670,a
671,n
672,d
673,i
674,n
675,g
676,o
677,m
678,m
679,a
680,n
681,d
682,i
683,n
684,g
685,o
686,m
687,m
688,a
689,n
690,d
691,i
692,n
693,g
694,o
695,m
696,m
697,a
698,n
699,d
700,i
701,n
702,g
703,o
704,m
705,m
706,a
707,n
708,d
709,i
710,n
711,g
721,o
722,m
723,m
724,a
725,n
726,d
727,i
728,n
729,g
739,o
740,m
741,m
742,a
743,n
744,d
745,i
746,n
747,g
748,o
749,m
750,m
751,a
752,n
753,d
754,i
755,n
756,g
757,o
758,m
759,m
760,a
761,n
762,d
763,i
764,n
765,g
766,o
767,m
768,m
769,a
770,n
771,d
772,i
773,n
774,g
775,o
776,m
777,m
778,a
779,n
780,d
781,i
782,n
783,g
784,o
785,m
786,m
787,a
788,n
789,d
790,i
791,n
792,g
793,o
794,m
795,m
796,a
797,n
798,d
799,i
800,n
801,g
802,o
803,m
804,m
805,a
806,n
807,d
808,i
809,n
810,g
811,o
812,m
813,m
814,a
815,n
816,d
817,i
818,n
819,g
829,o
830,m
831,m
832,a
833,n
834,d
835,i
836,n
837,g
865,o
866,m
867,m
868,a
869,n
870,d
871,i
872,n
873,g
874,o
875,m
876,m
877,a
878,n
879,d
880,i
881,n
882,g
883,o
884,m
885,m
886,a
887,n
888,d
889,i
890,n
891,g
892,o
893,m
894,m
895,a
896,n
897,d
898,i
899,n
900,g
901,o
902,m
903,m
904,a
905,n
906,d
907,i
908,n
909,g
910,o
911,m
912,m
913,a
914,n
915,d
916,i
917,n
918,g
928,o
929,m
930,m
931,a
932,n
933,d
934,i
935,n
936,g
937,o
938,m
939,m
940,a
941,n
942,d
943,i
944,n
945,g
955,o
956,m
957,m
958,a
959,n
960,d
961,i
962,n
963,g
1000,o
1001,m
1002,m
1003,a
1004,n
1005,d
1006,i
1007,n
1008,g
1009,o
1010,m
1011,m
1012,a
1013,n
1014,d
1015,i
1016,n
1017,g
1018,o
1019,m
1020,m
1021,a
1022,n
1023,d
1024,i
1025,n
1026,g
1027,o
1028,m
1029,m
1030,a
1031,n
1032,d
1033,i
1034,n
1035,g
1036,o
1037,m
1038,m
1039,a
1040,n
1041,d
1042,i
1043,n
1044,g
1045,o
1046,m
1047,m
1048,a
1049,n
1050,d
1051,i
1052,n
1053,g
1054,o
1055,m
1056,m
1057,a
1058,n
1059,d
1060,i
1061,n
1062,g
1063,o
1064,m
1065,m
1066,a
1067,n
1068,d
1069,i
1070,n
1071,g
1072,o
1073,m
1074,m
1075,a
1076,n
1077,d
1078,i
1079,n
1080,g
1081,o
1082,m
1083,m
1084,a
1085,n
1086,d
1087,i
1088,n
1089,g
1090,o
1091,m
1092,m
1093,a
1094,n
1095,d
1096,i
1097,n
1098,g
1099,o
1100,m
1101,m
1102,a
1103,n
1104,d
1105,i
1106,n
1107,g
1108,o
1109,m
1110,m
1111,a
1112,n
1113,d
1114,i
1115,n
1116,g
1117,o
1118,m
1119,m
1120,a
1121,n
1122,d
1123,i
1124,n
1125,g
1126,o
1127,m
1128,m
1129,a
1130,n
1131,d
1132,i
1133,n
1134,g
1135,o
1136,m
1137,m
1138,a
1139,n
1140,d
1141,i
1142,n
1143,g
1144,o
1145,m
1146,m
1147,a
1148,n
1149,d
1150,i
1151,n
1152,g
1153,o
1154,m
1155,m
1156,a
1157,n
1158,d
1159,i
1160,n
1161,g
1178,m
1179,b
1180,r
1181,a
1182,c
1183,e
1184,s
1185,m
1186,b
1187,r
1188,a
1189,c
1190,e
1191,s
1192,m
1193,b
1194,r
1195,a
1196,c
1197,e
1198,s
1206,m
1207,b
1208,r
1209,a
1210,c
1211,e
1212,s
1213,m
1214,b
1215,r
1216,a
1217,c
1218,e
1219,s
1220,m
1221,b
1222,r
1223,a
1224,c
1225,e
1226,s
1234,m
1235,b
1236,r
1237,a
1238,c
1239,e
1240,s
1241,m
1242,b
1243,r
1244,a
1245,c
1246,e
1247,s
1248,m
1249,b
1250,r
1251,a
1252,c
1253,e
1254,s
1255,m
1256,b
1257,r
1258,a
1259,c
1260,e
1261,s
1262,m
1263,b
1264,r
1265,a
1266,c
1267,e
1268,s
1269,m
1270,b
1271,r
1272,a
1273,c
1274,e
1275,s
1283,m
1284,b
1285,r
1286,a
1287,c
1288,e
1289,s
1297,m
1298,b
1299,r
1300,a
1301,c
1302,e
1303,s
1311,m
1312,b
1313,r
1314,a
1315,c
1316,e
1317,s
1325,m
1326,b
1327,r
1328,a
1329,c
1330,e
1331,s
1332,m
1333,b
1334,r
1335,a
1336,c
1337,e
1338,s
1339,m
1340,b
1341,r
1342,a
1343,c
1344,e
1345,s
1353,m
1354,b
1355,r
1356,a
1357,c
1358,e
1359,s
1360,m
1361,b
1362,r
1363,a
1364,c
1365,e
1366,s
1367,m
1368,b
1369,r
1370,a
1371,c
1372,e
1373,s
1374,m
1375,b
1376,r
1377,a
1378,c
1379,e
1380,s
1381,m
1382,b
1383,r
1384,a
1385,c
1386,e
1387,s
1388,m
1389,b
1390,r
1391,a
1392,c
1393,e
1394,s
1395,m
1396,b
1397,r
1398,a
1399,c
1400,e
1401,s
1402,m
1403,b
1404,r
1405,a
1406,c
1407,e
1408,s
1409,m
1410,b
1411,r
1412,a
1413,c
1414,e
1415,s
1423,m
1424,b
1425,r
1426,a
1427,c
1428,e
1429,s
1430,m
1431,b
1432,r
1433,a
1434,c
1435,e
1436,s
1437,m
1438,b
1439,r
1440,a
1441,c
1442,e
1443,s
1444,m
1445,b
1446,r
1447,a
1448,c
1449,e
1450,s
1451,m
1452,b
1453,r
1454,a
1455,c
1456,e
1457,s
1465,m
1466,b
1467,r
1468,a
1469,c
1470,e
1471,s
1486,m
1487,b
1488,r
1489,a
1490,c
1491,e
1492,s
1493,m
1494,b
1495,r
1496,a
1497,c
1498,e
1499,s
1500,m
1501,b
1502,r
1503,a
1504,c
1505,e
1506,s
1507,m
1508,b
1509,r
1510,a
1511,c
1512,e
1513,s
1514,m
1515,b
1516,r
1517,a
1518,c
1519,e
1520,s
1521,m
1522,b
1523,r
1524,a
1525,c
1526,e
1527,s
1528,m
1529,b
1530,r
1531,a
1532,c
1533,e
1534,s
1535,m
1536,b
1537,r
1538,a
1539,c
1540,e
1541,s
1542,m
1543,b
1544,r
1545,a
1546,c
1547,e
1548,s
1549,m
1550,b
1551,r
1552,a
1553,c
1554,e
1555,s
1556,m
1557,b
1558,r
1559,a
1560,c
1561,e
1562,s
1563,m
1564,b
1565,r
1566,a
1567,c
1568,e
1569,s
1570,m
1571,b
1572,r
1573,a
1574,c
1575,e
1576,s
1577,m
1578,b
1579,r
1580,a
1581,c
1582,e
1583,s
1598,m
1599,b
1600,r
1601,a
1602,c
1603,e
1604,s
1605,m
1606,b
1607,r
1608,a
1609,c
1610,e
1611,s
1612,m
1613,b
1614,r
1615,a
1616,c
1617,e
1618,s
1619,m
1620,b
1621,r
1622,a
1623,c
1624,e
1625,s
1626,m
1627,b
1628,r
1629,a
1630,c
1631,e
1632,s
1633,m
1634,b
1635,r
1636,a
1637,c
1638,e
1639,s
1647,m
1648,b
1649,r
1650,a
1651,c
1652,e
1653,s
1654,m
1655,b
1656,r
1657,a
1658,c
1659,e
1660,s
1661,m
1662,b
1663,r
1664,a
1665,c
1666,e
1667,s
1668,m
1669,b
1670,r
1671,a
1672,c
1673,e
1674,s
1675,m
1676,b
1677,r
1678,a
1679,c
1680,e
1681,s
1682,m
1683,b
1684,r
1685,a
1686,c
1687,e
1688,s
1689,m
1690,b
1691,r
1692,a
1693,c
1694,e
1695,s
1696,m
1697,b
1698,r
1699,a
1700,c
1701,e
1702,s
1703,m
1704,b
1705,r
1706,a
1707,c
1708,e
1709,s
1710,m
1711,b
1712,r
1713,a
1714,c
1715,e
1716,s
1717,m
1718,b
1719,r
1720,a
1721,c
1722,e
1723,s
1724,m
1725,b
1726,r
1727,a
1728,c
1729,e
1730,s
1731,m
1732,b
1733,r
1734,a
1735,c
1736,e
1737,s
1738,m
1739,b
1740,r
1741,a
1742,c
1743,e
1744,s
1745,m
1746,b
1747,r
1748,a
1749,c
1750,e
1751,s
1752,m
1753,b
1754,r
1755,a
1756,c
1757,e
1758,s
1759,m
1760,b
1761,r
1762,a
1763,c
1764,e
1765,s
1773,m
1774,b
1775,r
1776,a
1777,c
1778,e
1779,s
1787,m
1788,b
1789,r
1790,a
1791,c
1792,e
1793,s
1794,m
1795,b
1796,r
1797,a
1798,c
1799,e
1800,s
1801,m
1802,b
1803,r
1804,a
1805,c
1806,e
1807,s
1808,m
1809,b
1810,r
1811,a
1812,c
1813,e
1814,s
1815,m
1816,b
1817,r
1818,a
1819,c
1820,e
1821,s
1822,m
1823,b
1824,r
1825,a
1826,c
1827,e
1828,s
1829,m
1830,b
1831,r
1832,a
1833,c
1834,e
1835,s
1836,m
1837,b
1838,r
1839,a
1840,c
1841,e
1842,s
1843,m
1844,b
1845,r
1846,a
1847,c
1848,e
1849,s
1850,m
1851,b
1852,r
1853,a
1854,c
1855,e
1856,s
1857,m
1858,b
1859,r
1860,a
1861,c
1862,e
1863,s
1864,m
1865,b
1866,r
1867,a
1868,c
1869,e
1870,s
1871,m
1872,b
1873,r
1874,a
1875,c
1876,e
1877,s
1885,m
1886,b
1887,r
1888,a
1889,c
1890,e
1891,s
1892,m
1893,b
1894,r
1895,a
1896,c
1897,e
1898,s
1899,m
1900,b
1901,r
1902,a
1903,c
1904,e
1905,s
1906,m
1907,b
1908,r
1909,a
1910,c
1911,e
1912,s
1913,m
1914,b
1915,r
1916,a
1917,c
1918,e
1919,s
1920,m
1921,b
1922,r
1923,a
1924,c
1925,e
1926,s
1927,m
1928,b
1929,r
1930,a
1931,c
1932,e
1933,s
1934,m
1935,b
1936,r
1937,a
1938,c
1939,e
1940,s
1941,m
1942,b
1943,r
1944,a
1945,c
1946,e
1947,s
1955,m
1956,b
1957,r
1958,a
1959,c
1960,e
1961,s
1969,m
1970,b
1971,r
1972,a
1973,c
1974,e
1975,s
1976,m
1977,b
1978,r
1979,a
1980,c
1981,e
1982,s
1983,m
1984,b
1985,r
1986,a
1987,c
1988,e
1989,s
1990,m
1991,b
1992,r
1993,a
1994,c
1995,e
1996,s
1997,m
1998,b
1999,r
2000,a
2001,c
2002,e
2003,s
2004,m
2005,b
2006,r
2007,a
2008,c
2009,e
2010,s
2011,m
2012,b
2013,r
2014,a
2015,c
2016,e
2017,s
2018,m
2019,b
2020,r
2021,a
2022,c
